img,hit,target,subj_noun,verb,obj_noun,other,notes
7995263133.jpg,3,A young boy is sleeping (on a striped pillow).,boy,sleeping,,pillow,
4772785237.jpg,3,A man is sweeping the sidewalk.,man,sweeping,sidewalk,,
6303184938.jpg,3,A man is looking through a microscope.,man,looking,microscope,,
3673032164.jpg,3,Two girls are arm-wrestling.,girls,arm-wrestling,,,
6596861005.jpg,3,A woman is reading a map.,woman,reading,map,water,
3719712280.jpg,3,A woman is diving to catch a frisbee.,woman,diving/catching,frisbee,,
4678843953.jpg,3,A man is throwing an axe.,man,throwing,axe,,
104669470.jpg,3,A woman is carrying a bowl of fruit on her head.,woman,carrying,bowl,fruit/head,
4696829163.jpg,3,A boy is holding up a fish (he caught).,boy,holding,fish,caught,
4968012871.jpg,3,A woman is holding a chicken/rooster.,woman,holding,chicken/rooster,,direct object
4400746838.jpg,3,A young girl is covering her eyes.,girl,covering,eyes,hand,
6338733.jpg,3,A woman is holding a stop sign.,woman,holding,stop sign,,
55903788.jpg,3,A woman brushes another woman's hair.,woman,brushes,hair,woman,
4610962283.jpg,3,A woman is playing the harp.,woman,playing,harp,,
5840187633.jpg,3,A little girl is walking on a treadmill.,girl,walking,,treadmill,
44419435.jpg,3,A young girl is sitting on a railing.,girl,sitting,,railing,
6939434967.jpg,3,Three girls are playing jump rope.,girls,playing,jump rope,,
4621100791.jpg,3,A man is sleeping on a chair/bench (outside).,man,sleeping,bench,outside,
4704668708.jpg,3,A little boy is opening a gift/present.,boy,opening,gift/present,,
6225280494.jpg,3,A man is jumping over a hurdle.,man,jumping,,hurdle,
4572715888.jpg,3,A man is reading a book (while waiting for the train).,man,reading,book,subway/train,
7380263314.jpg,3,A girl is digging sand at the beach.,girl,digging,sand,beach/shovel,
150582765.jpg,3,A woman is taking a picture (with a camera).,woman,taking,picture,camera,
4050265867.jpg,4,A baby is yawning.,baby,yawning,,,
3660826540.jpg,4,A little boy is pointing at something.,boy,pointing,,something,
6094931376.jpg,4,A group of people are hiking (up a mountain/trail).,group,hiking,,mountain/trail,
28144507.jpg,4,A man is washing windows.,man,washing,windows,,
4633221176.jpg,4,A baby is crying.,baby,crying,,,
5565536413.jpg,4,A man is painting a mural.,man,painting,mural,door,
5334523454.jpg,4,A boy is holding a bird in his hands.,boy,holding,bird,hands,
12142386.jpg,4,A man is juggling balls.,man,juggling,balls,,
4436749692.jpg,4,A man is reading the newspaper.,man,reading,newspaper,,
4548039526.jpg,4,Two (older) men are walking on the beach.,men,walking,,beach/water,
3686889377.jpg,4,A woman is washing the dishes.,woman,washing,dishes,kitchen sink,
5326507136.jpg,4,A woman is painting her nails.,woman,painting,nails,,
7188003.jpg,4,A person is skiing down a steep slope.,person,skiing,slope,,
41105465.jpg,4,A man is meditating in a park.,man,meditating,,park,
5411504795.jpg,4,A little girl is smelling a flower.,girl,smelling,flower,,
41999070.jpg,4,A group of dogs are playing in a fountain/pool.,group,playing,,fountain/pool/water,
6237869128.jpg,4,A woman is putting on a boot.,woman,putting on,boot,floor,
4580613274.jpg,4,A man is sweeping the steps.,man,sweeping,steps,,
3818278154.jpg,4,A group of people are doing yoga on a beach.,group,doing,yoga,beach,
4263999253.jpg,4,Two kids are shoveling snow.,kids,shoveling,snow,,
7028846053.jpg,4,A woman is eating noodles (from a bowl).,woman,eating,noodles,bowl/chopsticks,
7773991560.jpg,4,A man is playing pool.,man,playing,pool,,
6552971469.jpg,4,A choir is singing.,choir,singing,,,
126594141.jpg,4,A woman is tying her shoe (on a soccer field).,woman,tying,shoe,field,
1414454789.jpg,4,Chefs are preparing food in a kitchen.,chefs,preparing,food,kitchen,
2667549961.jpg,4,A baby is crawling (on a floor toward a water bottle).,baby,crawling,,floor/bottle,
5220880759.jpg,4,A man is taking a shower.,man,taking,shower,,
281706216.jpg,4,A man is digging a hole.,man,digging,hole,,
6918285809.jpg,4,A bartender is pouring/mixing a drink.,bartender,pouring/mixing,drink,glass,
4753970630.jpg,4,A little girl is jumping into a pool.,girl,jumping,,pool,
2047030603.jpg,4,A man is pushing a cart full of grocery bags.,man,pushing,cart,bags,
4322110026.jpg,4,A man is shaving his face.,man,shaving,face,,
7119846943.jpg,4,A girl is hula-hooping.,girl,hula-hooping,,,
4555514125.jpg,4,A man is pushing a couch down a street/sidewalk.,man,pushing,couch,sidewalk/street,interesting - pulling vs. pushing
5506407501.jpg,4,A man is ironing a shirt.,man,ironing,shirt,,
4986581949.jpg,4,A woman is sitting on the subway.,woman,sitting,subway,,
5534793306.jpg,4,A man is painting a column (on a ladder).,man,painting,column,ladder,
6160193920.jpg,4,A woman is smiling/laughing.,woman,smiling/laughing,,,
36979.jpg,4,A group of people are playing poker.,group,playing,poker,,
4688958106.jpg,4,Two doctors/surgeons are operating/performing surgery.,doctors/surgeons,operating/performing,surgery,,
